Nom_scientifique,Nom_anglais,Nom_français,photo,Habitat_principal,Habitat_secondaire,LienURL,Lisence,droits,annotation,Type
Neophron percnopterus,Egyptian Vulture,Vautour percnoptère,,Milieu forestier,Milieu urbain,,,,,
Tringa ochropus,Green Sandpiper,Chevalier cul-blanc,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FChevalier%20cul-blanc.jpg?alt=media&token=ca38ea94-2ef2-4a3c-84f3-5a39547a73b0,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20cul-blanc.wav?alt=media&token=549b59a5-c7df-44dc-a435-8f64efb07e3f,,D,,call
Tringa totanus,Common Redshank,Chevalier gambette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FChevalier%20gambette.jpg?alt=media&token=9ec93234-6053-4252-98f8-2427033a8de3,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20gambette.wav?alt=media&token=e179d479-b714-4f83-86ff-8fe6006e79dd,,D,,song
Actitis hypoleucos,Common Sandpiper,Chevalier guignette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FChevalier%20guignette.jpg?alt=media&token=5d496d85-c2cb-4ee1-8a92-4049ce57a428,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20guignette.wav?alt=media&token=45d5009a-1bd4-4da9-84ec-fa41220b9a91,,D,,call
Tringa glareola,Wood Sandpiper,Chevalier sylvain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FChevalier%20sylvain.jpg?alt=media&token=acb3500e-f581-4b57-9c11-475cbc9f6fd8,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20sylvain.wav?alt=media&token=8a48ed5e-5886-4bec-85e1-4f1403eba3d2,,D,,call
Athene noctua,Little Owl,Chevêche d'Athéna,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FChev%C3%AAche%20d'Ath%C3%A9na.jpg?alt=media&token=e7815227-5d7f-442b-826c-09e445f22cec,Milieu urbain,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChev%C3%AAche%20d'Ath%C3%A9na.mp3?alt=media&token=c1ee6366-7e77-4457-810b-744a78df5f79,https://www.youtube.com/watch?v=XLgQtyx81UQ,D,,call
Certhia familiaris,Eurasian Treecreeper,Grimpereau des bois,,Milieu forestier,Milieu montagnard,,,D,,call
Pyrrhocorax graculus,Alpine Chough,Chocard à bec jaune,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FChocard%20%C3%A0%20bec%20jaune.jpg?alt=media&token=657a0740-9ccb-4453-9247-48fd6d4a6e8b,Milieu montagnard,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChocard%20%C3%A0%20bec%20jaune.mp3?alt=media&token=3c41de32-0ae4-4be6-b2e1-a40fc8b757f3,https://www.youtube.com/watch?v=YcPKKD0mh18,C,,call
Coloeus monedula,Western Jackdaw,Choucas des tours,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FChoucas%20des%20tours.jpg?alt=media&token=60f66df3-99bb-459a-8fb0-bb2033636149,Milieu urbain,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChoucas%20des%20tours.mp3?alt=media&token=21bf9088-4055-437c-9eaa-71cc59d3486a,https://www.youtube.com/watch?v=jigfsOcV-2g,C,,call
Jynx torquilla,Eurasian Wryneck,Torcol fourmilier,,Milieu forestier,Milieu urbain,,https://www.youtube.com/shorts/qFp-OyJ2Qac?feature=share,C,,call
Aegolius funereus,Boreal Owl,Chouette de Tengmalm,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FChouette%20de%20Tengmalm.jpg?alt=media&token=584e1d6c-bb65-4671-a3b8-1a7233b74f12,Milieu montagnard,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChouette%20de%20Tengmalm.wav?alt=media&token=07606f07-a8b6-4286-bc4c-a888915a92dc,,D,,call
Strix aluco,Tawny Owl,Chouette hulotte,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FChouette%20hulotte.jpg?alt=media&token=cc2ee31f-967c-478b-ba3a-3d1f146e2024,Milieu forestier,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChouette%20hulotte.wav?alt=media&token=635ff3b8-7dd1-4312-8355-5ba5225c576e,,D,retravailler l'audio,call
Ciconia ciconia,White Stork,Cigogne blanche,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCigogne%20blanche.jpg?alt=media&token=437de31d-f700-448a-bb95-682f30cec186,Milieu humide,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCigogne%20blanche.wav?alt=media&token=034d1800-c34b-4e0f-8384-18cc947bcc1f,,D,,call
Cinclus cinclus,White-throated Dipper,Cincle plongeur,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCincle%20plongeur.jpg?alt=media&token=5e405335-a832-413c-96a5-131f6fd874ad,Milieu montagnard,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCincle%20plongeur.mp3?alt=media&token=54773aa9-7c7d-46bf-98c4-f5052cc7e25e,https://youtu.be/ByEL_sP2zTw,C,,song
Cisticola juncidis,Zitting Cisticola,Cisticole des joncs,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCisticole%20des%20joncs.jpg?alt=media&token=a1af8edd-f8a9-4a6f-99fb-78fe49686437,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCisticole%20des%20joncs.wav?alt=media&token=95d8cad1-152f-438a-a91f-fdaa34ad9bab,,D,,song
Galerida cristata,Crested Lark,Cochevis huppé,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCochevis%20hupp%C3%A9.jpg?alt=media&token=eba22097-34cd-4e8f-98e0-d0103ae5af90,Milieu agricole,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCochevis%20hupp%C3%A9.wav?alt=media&token=5ee6a108-a418-497d-b27f-d8596fa97b55,,D,,call
Colinus virginianus,Northern Bobwhite,Colin de Virginie,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FColin%20de%20Virginie.jpg?alt=media&token=9d821568-c9d9-4631-ac58-edaa784c4bdc,Milieu agricole,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FColin%20de%20Virginie.wav?alt=media&token=30b21565-fef0-4a79-b4ff-916fac999051,,D,,song
Calidris pugnax,Ruff,Combattant varié,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCombattant%20vari%C3%A9.jpg?alt=media&token=8350f8ba-f556-474f-9422-696bd414e2e1,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCombattant%20vari%C3%A9.wav?alt=media&token=9e807c62-b685-4481-90b5-f84c48874235,,D,,call
Corvus frugilegus,Rook,Corbeau freux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCorbeau%20freux.jpg?alt=media&token=cae57286-2bf8-478c-9924-52d2a95f98fb,Milieu urbain,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCorbeau%20freux.wav?alt=media&token=bee118fe-cff3-4c4c-8a06-62cea4709ab2,,D,,call
Gulosus aristotelis,European Shag,Cormoran huppé,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCormoran%20hupp%C3%A9.jpg?alt=media&token=36089ed0-b6c6-4b4c-8f36-cb1300291a46,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCormoran%20hupp%C3%A9.wav?alt=media&token=a48a3ddc-9d21-4cb7-a1a2-deb1a5061f37,,D,,call
Phylloscopus humei,Hume's Leaf Warbler,Pouillot de Hume,,Milieu forestier,,,,D,j'ai pas pas grave,
Phylloscopus ibericus,Iberian Chiffchaff,Pouillot ibérique,,Milieu forestier,,,,D,j'ai pas pas grave,
Corvus cornix,Hooded Crow,Corneille mantelée,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCorneille%20mantel%C3%A9e.jpg?alt=media&token=d6b86bc9-29c0-4641-a767-47f7deb369f3,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCorneille%20mantel%C3%A9e.wav?alt=media&token=d6594ae5-f833-4ca0-9228-fe5c02cb74f6,,D,,call
Corvus corone,Carrion Crow,Corneille noire,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCorneille%20noire.jpg?alt=media&token=2383c365-0d8f-474d-ae55-06783de9ec33,Milieu urbain,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCorneille%20noire.wav?alt=media&token=698ae7c8-9bad-41de-a369-08052462597d,,D,,Call
Clamator glandarius,Great Spotted Cuckoo,Coucou geai,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCoucou%20geai.jpg?alt=media&token=dfa6f3db-d5fd-4405-aba3-5e74942b0e08,Milieu forestier,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCoucou%20geai.wav?alt=media&token=69150040-1504-4d33-97ce-93b567965b13,,D,,song
Cuculus canorus,Common Cuckoo,Coucou gris,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCoucou%20gris.jpg?alt=media&token=f3bbb12b-376f-411e-92a6-b8ddb991b761,Milieu forestier,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCoucou%20gris.mp3?alt=media&token=cdadd005-4b86-40ca-887a-5098c411f07c,,D,,song
Numenius arquata,Eurasian Curlew,Courlis cendré,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCourlis%20cendr%C3%A9.jpg?alt=media&token=d3c18844-173f-433e-baf1-71a9bfc442e9,Milieu humide,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCourlis%20cendr%C3%A9.wav?alt=media&token=a5966cdc-3127-4de4-b2c0-07e4f7c9910a,,D,,call
Curruca subalpina,Moltoni's Warbler,Fauvette de Moltoni,,Milieu forestier,,,,,J4AI PAS PAS GRAVE,
Numenius phaeopus,Eurasian Whimbrel,Courlis corlieu,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCourlis%20corlieu.jpg?alt=media&token=468abd83-e803-4a20-99ab-f557c7ad5232,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCourlis%20corlieu.wav?alt=media&token=dcd792a0-5c46-4f18-832f-e3d7d728041c,,D,a verifie mais vraiment possible,call
Pyrrhocorax pyrrhocorax,Red-billed Chough,Crave à bec rouge,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCrave%20%C3%A0%20bec%20rouge.jpg?alt=media&token=e8197a98-a5e4-4f44-87f4-10d3a81dff73,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCrave%20%C3%A0%20bec%20rouge.mp3?alt=media&token=999b58e4-c13a-4404-abf5-c32d64e6461c,,D,J4AI PAS PAS GRAVE,call
Cygnus cygnus,Whooper Swan,Cygne chanteur,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCygne%20chanteur.jpg?alt=media&token=cd7295d9-8859-4bdb-a333-4f4af15e7267,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCygne%20chanteur.wav?alt=media&token=4fefbb92-4db3-4cd9-87ba-040b385a8f29,,D,,call
Anthus richardi,Richard's Pipit,Pipit de Richard,,Milieu forestier,Milieu agricole,,,,J4AI PAS PAS GRAVE,
Cygnus columbianus,Tundra Swan,Cygne de Bewick,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCygne%20de%20Bewick.jpg?alt=media&token=2442cf75-50b7-4e90-a571-057fd7767381,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCygne%20de%20Bewick.wav?alt=media&token=9e5e4299-5235-46fe-b2ae-557e43e4912d,,D,,call
Cygnus atratus,Black Swan,Cygne noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCygne%20noir.jpg?alt=media&token=11590d35-6ec9-4f1b-ae6d-b0032aca512f,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCygne%20noir.wav?alt=media&token=f008d587-1ce8-45a7-abc0-7c2aab676f47,,D,,Call
Cygnus olor,Mute Swan,Cygne tuberculé,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FCygne%20tubercul%C3%A9.jpg?alt=media&token=44af4662-9a92-42d5-b4c5-ee684c7beca3,Milieu humide,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCygne%20tubercul%C3%A9.wav?alt=media&token=c43e1809-7c21-4ee8-a540-10b0d2dc3f4f,,D,,call
Himantopus himantopus,Black-winged Stilt,Échasse blanche,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2F%C3%89chasse%20blanche.jpg?alt=media&token=f890edac-9c68-420e-a3c5-5ad3402c184b,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89chasse%20blanche.wav?alt=media&token=4f37023b-6a71-4ac7-b506-446c690cc06a,,D,,call
Tyto alba,Western Barn Owl,Effraie des clochers,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FEffraie%20des%20clochers.jpg?alt=media&token=d01a94bb-40ab-40cc-a1f7-ed9305c5f9bd,Milieu urbain,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FEffraie%20des%20clochers.wav?alt=media&token=1ded70f2-8a5d-433f-b96b-3c694ab08b9a,,D,,call
Somateria mollissima,Common Eider,Eider à duvet,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FEider%20%C3%A0%20duvet.jpg?alt=media&token=7af98447-f4b1-4479-b1e8-c38ee9edb927,Milieu littoral,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FEider%20%C3%A0%20duvet.wav?alt=media&token=3dd5ac1c-ff10-4db7-8844-dcb1ba4c5c9e,,D,,call
Elanus caeruleus,Black-winged Kite,Élanion blanc,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2F%C3%89lanion%20blanc.jpg?alt=media&token=fdea3a7a-e60e-4d23-b3bb-bb87bf9431ca,Milieu agricole,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89lanion%20blanc.mp3?alt=media&token=64c86c8f-ac5c-40a5-a8c3-afd16f6ce99d,,D,bizarre,Call
Phylloscopus inornatus,Yellow-browed Warbler,Pouillot à grands sourcils,,Milieu forestier,,,,,J'AI PAS PAS GRAVE,
Caprimulgus europaeus,European Nightjar,Engoulevent d'Europe,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FEngoulevent%20d'Europe.jpg?alt=media&token=131af786-7589-4ade-a8ec-12c95f7f3b41,Milieu agricole,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FEngoulevent%20d'Europe.wav?alt=media&token=466205ed-50f2-4d37-ad8d-07fc8a02025f,,D,,song
Accipiter nisus,Eurasian Sparrowhawk,Épervier d'Europe,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2F%C3%89pervier%20d'Europe.jpg?alt=media&token=4c9c89cc-78ce-4dd8-8f3e-0d26a2adbc2f,Milieu urbain,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89pervier%20d'Europe.wav?alt=media&token=b335fdea-098b-48e2-993b-0d8e88481c48,,D,,call
Oxyura jamaicensis,Ruddy Duck,Érismature rousse,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2F%C3%89rismature%20rousse.jpg?alt=media&token=9ccb10cc-f0e7-47ee-b19d-2e18de449171,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89rismature%20rousse.wav?alt=media&token=583d3092-1431-43b9-be34-fc450aeb8f0a,,D,,call
Sturnus vulgaris,Common Starling,Étourneau sansonnet,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2F%C3%89tourneau%20sansonnet.jpg?alt=media&token=d81560ef-188a-4889-937e-6e4bdeef4f06,Milieu urbain,Milieu agricole,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2F%C3%89tourneau%20sansonnet.wav?alt=media&token=45395db7-fb5b-461a-bcab-51acb24255b1,,D,,song
Phasianus colchicus,Common Pheasant,Faisan de Colchide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFaisan%20de%20Colchide%20(2).jpg?alt=media&token=749906ef-7b43-4de8-83f3-7a85fad07905,Milieu agricole,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFaisan%20de%20Colchide.wav?alt=media&token=19897b9e-38f3-4c87-b1a3-eb6cf2c9fbca,,D,,call
Falco tinnunculus,Common Kestrel,Faucon crécerelle,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFaucon%20cr%C3%A9cerelle.jpg?alt=media&token=60ff2d34-eb2b-4a7a-bed0-7531dc618e48,Milieu agricole,Milieu urbain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFaucon%20cr%C3%A9cerelle.wav?alt=media&token=63046804-e4d9-40c6-ae17-d26fed5d35a4,,D,,call
Falco subbuteo,Eurasian Hobby,Faucon hobereau,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFaucon%20hobereau.jpg?alt=media&token=97cce5cd-16a1-4075-8bff-4c648c11e86a,Milieu humide,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFaucon%20hobereau.mp3?alt=media&token=ea6baf69-5ca4-40e4-ba5f-3ae3fce8204a,,D,,call
Falco peregrinus,Peregrine Falcon,Faucon pèlerin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFaucon%20p%C3%A8lerin.jpg?alt=media&token=174d6128-fa9d-4486-94e6-59cee668325a,Milieu urbain,Milieu montagnard,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFaucon%20p%C3%A8lerin.wav?alt=media&token=be56ade6-ccb6-4bde-944b-ef4ad815f15d,,D,,call
Curruca conspicillata,Spectacled Warbler,Fauvette à lunettes,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFauvette%20%C3%A0%20lunettes.jpg?alt=media&token=515aea47-8bec-4f4e-a646-0bef6e8b6999,Milieu agricole,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20%C3%A0%20lunettes.wav?alt=media&token=f568a7e8-7251-41b4-8266-adbc104e1a7b,,D,,song
Sylvia atricapilla,Eurasian Blackcap,Fauvette à tête noire,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFauvette%20%C3%A0%20t%C3%AAte%20noire.jpg?alt=media&token=ec1e841b-1805-4789-8444-17509a98025a,Milieu forestier,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20%C3%A0%20t%C3%AAte%20noire.mp3?alt=media&token=49f4762c-0f12-4cd5-b950-52a6d0899b4a,,D,,song
Calidris falcinellus,Broad-billed Sandpiper,Bécasseau falcinelle,,Milieu humide,Milieu littoral,,,,pas super son,
Curruca curruca,Lesser Whitethroat,Fauvette babillarde,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFauvette%20babillarde.jpg?alt=media&token=037c7480-774b-4b75-919f-6a3d7e0700bc,Milieu agricole,Milieu humide,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20babillarde.wav?alt=media&token=f6c351d1-4888-4c3d-932c-85691afa45d6,,D,a verifier et a retravailler,song?
Sylvia borin,Garden Warbler,Fauvette des jardins,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFauvette%20des%20jardins.jpg?alt=media&token=480d5749-5c60-47f8-9e1d-0acd57e12bb7,Milieu urbain,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20des%20jardins.wav?alt=media&token=90a33097-2ac0-493f-8855-fcdb616b3f16,,D,,song
Motacilla citreola,Citrine Wagtail,Bergeronnette citrine,,Milieu humide,,,,,pas de son,
Curruca communis,Common Whitethroat,Fauvette grisette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFauvette%20grisette.jpg?alt=media&token=a6ac961c-4c99-46e5-bcaa-e7b7e0da88a7,Milieu forestier,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20grisette.mp3?alt=media&token=81e754c2-30cd-41e6-b9c7-42dd12037499,,D,,song
Curruca melanocephala,Sardinian Warbler,Fauvette mélanocéphale,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFauvette%20m%C3%A9lanoc%C3%A9phale.jpg?alt=media&token=1014bc51-d934-4120-869a-4384083fa69a,Milieu urbain,Milieu forestier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20m%C3%A9lanoc%C3%A9phale.wav?alt=media&token=4d40be40-4527-4309-8d43-9c551e5999ab,,D,,song
Curruca undata,Dartford Warbler,Fauvette pitchou,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFauvette%20pitchou.jpg?alt=media&token=803931a3-2a6b-4607-9c25-82d618781791,Milieu agricole,Milieu littoral,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20pitchou.wav?alt=media&token=6e6e7f58-9a5f-43c2-ba0a-4611ff76a7d5,,D,,song
Phoenicopterus roseus,Greater Flamingo,Flamant rose,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFlamant%20rose.jpg?alt=media&token=268b6397-8549-4292-907c-9a336bba50dc,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFlamant%20rose.wav?alt=media&token=a3d79fa6-dc9b-4c6e-bc80-46ce7dc45bac,,D,pas tres fort,call
Morus bassanus,Northern Gannet,Fou de Bassan,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFou%20de%20Bassan.jpg?alt=media&token=dd54abea-811d-4695-a94c-59964397d4ef,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFou%20de%20Bassan.wav?alt=media&token=c5103604-ac02-492e-b131-90173a25037d,,D,,call
Aythya ferina,Common Pochard,Fuligule milouin,,Milieu humide,Milieu littoral,,,,pas de son,
Fulica atra,Eurasian Coot,Foulque macroule,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFoulque%20macroule.jpg?alt=media&token=560bc825-b009-4b80-a959-074094adee8e,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFoulque%20macroule.wav?alt=media&token=63735366-9cb7-42d8-9dfa-e42b9600fc74,,D,,call
Aythya fuligula,Tufted Duck,Fuligule morillon,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFuligule%20morillon.jpg?alt=media&token=6e96140c-bc89-4bf8-b4be-e9d47a2c3a67,Milieu humide,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFuligule%20morillon.wav?alt=media&token=3d4790fc-de9f-4f8e-90ca-c7e5cbb6fbfa,,D,,call
Fulmarus glacialis,Northern Fulmar,Fulmar boréal,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/photo%20d'oiseaux%20france%2FFulmar%20bor%C3%A9al.jpg?alt=media&token=035df208-881e-4a8f-bbce-0ce01f50c77d,Milieu littoral,,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFulmar%20bor%C3%A9al.wav?alt=media&token=56f212b1-4f3d-43c8-abec-b2141710d9bb,,D,,call
