Nom_scientifique,Nom_anglais,Nom_français,Audio_URL,Type,droits,Lisence,annotation,Habitat_principal,Habitat_secondaire
Gavia stellata,Red-throated Loon,Plongeon catmarin,,,,,J4AI PAS PAS GRAVE,Milieu littoral,Milieu humide
Charadrius alexandrinus,Kentish Plover,Pluvier à collier interrompu,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPluvier%20%C3%A0%20collier%20interrompu.wav?alt=media&token=43438dd4-422b-4ae5-9803-441fde742869,call,D,,,Milieu littoral,Milieu humide
Pluvialis apricaria,European Golden Plover,Pluvier doré,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPluvier%20dor%C3%A9.wav?alt=media&token=d7afdc70-790f-4fcb-b013-e2712d6939bd,call,D,,,Milieu littoral,Milieu humide
Charadrius hiaticula,Common Ringed Plover,Pluvier grand-gravelot,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPluvier%20grand-gravelot.wav?alt=media&token=c48741f9-2ce8-4359-9a52-faa18de66d20,song,D,,,Milieu littoral,Milieu humide
Acrocephalus palustris,Marsh Warbler,Rousserolle verderolle,,,,,J4AI PAS PAS GRAVE,Milieu littoral,Milieu humide
Sternula albifrons,Little Tern,Sterne naine,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSterne%20naine.wav?alt=media&token=d5b717c2-a46b-4f98-9676-a41e2841867c,call,D,,,Milieu littoral,Milieu humide
Tadorna ferruginea,Ruddy Shelduck,Tadorne casarca,,,,,J4AI PAS PAS GRAVE,Milieu littoral,Milieu humide
Spinus spinus,Eurasian Siskin,Tarin des aulnes,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTarin%20des%20aulnes.mp3?alt=media&token=ae137c54-6623-43a1-92f5-964f247a32b3,call,D,,pas ouf le son?,Milieu littoral,Milieu humide
Anthus petrosus,European Rock Pipit,Pipit maritime,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPipit%20maritime.mp3?alt=media&token=4b3c1159-20fd-4f19-b617-e266b352a97d,song,D,,a verifier si que ce sois le bon,Milieu montagnard,Milieu humide
Riparia riparia,Sand Martin,Hirondelle de rivage,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20de%20rivage.wav?alt=media&token=d974f1e7-6402-4c49-aa48-7c5cd8fcf115,call,D,,son arrive un peu tard,Milieu urbain,Milieu humide
Terpsiphone bourbonnensis,Mascarene Paradise Flycatcher,Oiseau la Vierge,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FOiseau%20la%20Vierge.wav?alt=media&token=76a729ac-c3c3-4406-baa6-7ed478739c00,song,D,,,Milieu urbain,Milieu humide
Calidris falcinellus,Broad-billed Sandpiper,Bécasseau falcinelle,,,,,pas super son,Milieu humide,Milieu littoral
Curruca undata,Dartford Warbler,Fauvette pitchou,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20pitchou.wav?alt=media&token=e29bb5a5-bb1c-46ba-8983-a7686ab45073,song,D,,,Milieu agricole,Milieu littoral
Branta bernicla,Brant Goose,Bernache cravant,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBernache%20cravant.mp3?alt=media&token=3f5587a4-41a2-434f-ac4c-fc2700ff33f1,call,D,,,Milieu humide,Milieu littoral
Branta canadensis,Canada Goose,Bernache du Canada,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBernache%20du%20Canada.wav?alt=media&token=7f3e346e-b849-48f0-a990-d7eabe892446,call,D,,,Milieu humide,Milieu littoral
Branta leucopsis,Barnacle Goose,Bernache nonnette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBernache%20nonnette.mp3?alt=media&token=c9b2ff6c-da4a-478f-a2e9-4edcf9070a91,call,,,,Milieu humide,Milieu littoral
Mareca strepera,Gadwall,Canard chipeau,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCanard%20chipeau.wav?alt=media&token=f7270552-a611-4767-8c71-19652a8837d4,call male,D,,,Milieu humide,Milieu littoral
Anas acuta,Northern Pintail,Canard pilet,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCanard%20pilet.wav?alt=media&token=1941e377-e885-4766-b2d8-b0dd9a1d2c34,call,D,,,Milieu humide,Milieu littoral
Mareca penelope,Eurasian Wigeon,Canard siffleur,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCanard%20siffleur.wav?alt=media&token=4f44c220-7254-47f4-89a0-323e8df9f673,call,D,,,Milieu humide,Milieu littoral
Spatula clypeata,Northern Shoveler,Canard souchet,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCanard%20souchet.wav?alt=media&token=4508a35e-b116-4db8-8c63-a5a036777216,call,D,,,Milieu humide,Milieu littoral
Tringa ochropus,Green Sandpiper,Chevalier cul-blanc,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20cul-blanc.wav?alt=media&token=274828be-4476-48d6-b58d-537b94c315db,call,D,,,Milieu humide,Milieu littoral
Tringa glareola,Wood Sandpiper,Chevalier sylvain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20sylvain.wav?alt=media&token=4e2da086-9da1-41fd-aba0-e4f200b0b161,call,D,,,Milieu humide,Milieu littoral
Numenius arquata,Eurasian Curlew,Courlis cendré,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCourlis%20cendr%C3%A9.wav?alt=media&token=8debb36f-f20c-4cd7-a5ef-638e37983bd2,call,D,,,Milieu humide,Milieu littoral
Aythya ferina,Common Pochard,Fuligule milouin,,,,,pas de son,Milieu humide,Milieu littoral
Phalacrocorax carbo,Great Cormorant,Grand Cormoran,,,D,,rien de bien,Milieu humide,Milieu littoral
Ardea alba,Great Egret,Grande Aigrette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrande%20Aigrette.wav?alt=media&token=96811df0-4c4f-4a8b-a4f7-e9cdf7c01a45,call,D,,,Milieu humide,Milieu littoral
Tachybaptus ruficollis,Little Grebe,Grèbe castagneux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGr%C3%A8be%20castagneux.wav?alt=media&token=fa243cbe-a7a0-438e-82c6-7b277ff1241c,call,D,,,Milieu humide,Milieu littoral
Podiceps cristatus,Great Crested Grebe,Grèbe huppé,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGr%C3%A8be%20hupp%C3%A9.wav?alt=media&token=6164ac2a-e60f-4fde-b0ef-3991e66310a3,call,D,,,Milieu humide,Milieu littoral
Plegadis falcinellus,Glossy Ibis,Ibis falcinelle,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FIbis%20falcinelle.wav?alt=media&token=b3490380-5035-4d7b-a84b-5d6a1cd932fa,call,D,,,Milieu humide,Milieu littoral
Spatula querquedula,Garganey,Sarcelle d'été,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSarcelle%20d'%C3%A9t%C3%A9.wav?alt=media&token=90357e9c-1a33-4905-b633-b990f69f97df,call,D,,,Milieu humide,Milieu littoral
Sitta europaea,Eurasian Nuthatch,Sittelle torchepot,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSittelle%20torchepot.wav?alt=media&token=b01da162-e65b-42a1-82d6-6479f2b8cc7d,song,D,,probleme de deux espece sur l'enregistrement,Milieu humide,Milieu littoral
Tadorna tadorna,Common Shelduck,Tadorne de Belon,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTadorne%20de%20Belon.wav?alt=media&token=5cada607-7e7c-47cb-8179-16024be1b274,call,D,,augemente le son,Milieu agricole,Milieu montagnard
Accipiter gentilis,Northern Goshawk,Autour des palombes,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAutour%20des%20palombes.mp3?alt=media&token=481e08de-02ce-43c1-8e58-e28270ddf958,call,C,https://www.youtube.com/watch?v=CichoNAcHPc,,Milieu forestier,Milieu montagnard
Ficedula hypoleuca,European Pied Flycatcher,Gobemouche noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGobemouche%20noir.wav?alt=media&token=38ba119d-384c-4e57-9c03-d90e99b45ef6,song,D,,pas sur que ce sois bon,Milieu forestier,Milieu montagnard
Certhia familiaris,Eurasian Treecreeper,Grimpereau des bois,,call,D,,,Milieu forestier,Milieu montagnard
Dendrocoptes medius,Middle Spotted Woodpecker,Pic mar,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20mar.mp3?alt=media&token=621b2c0f-ef9c-4286-83e4-c304c50b8558,song,C,https://www.youtube.com/watch?v=5-V9zNNrQOw,,Milieu forestier,Milieu montagnard
Fringilla montifringilla,Brambling,Pinson du Nord,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPinson%20du%20Nord.wav?alt=media&token=a7310d7c-d31e-426a-a158-31ea76487e32,,,,pas super son,Milieu forestier,Milieu montagnard
Anthus hodgsoni,Olive-backed Pipit,Pipit à dos olive,,,,,J4AI PAS PAS GRAVE,Milieu humide,Milieu montagnard
Falco peregrinus,Peregrine Falcon,Faucon pèlerin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFaucon%20p%C3%A8lerin.wav?alt=media&token=f9b9651f-f4f5-4a2e-a88f-4d906b57827f,call,D,,,Milieu urbain,Milieu montagnard
Carduelis carduelis,European Goldfinch,Chardonneret élégant,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChardonneret%20%C3%A9l%C3%A9gant.wav?alt=media&token=af0c3bfd-dcde-43ed-a743-0583c2e3df14,song,D,,,Milieu agricole,Milieu urbain
Falco tinnunculus,Common Kestrel,Faucon crécerelle,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFaucon%20cr%C3%A9cerelle.wav?alt=media&token=07547dec-3e14-4a0d-b268-1ae0eba9fc58,call,D,,,Milieu agricole,Milieu urbain
Turdus viscivorus,Mistle Thrush,Grive draine,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrive%20draine.wav?alt=media&token=6ed71d83-6dc7-4a21-831d-68a8c66f03e8,song,D,,,Milieu agricole,Milieu urbain
Turdus iliacus,Redwing,Grive mauvis,,,,,a chercher,Milieu agricole,Milieu urbain
Upupa epops,Eurasian Hoopoe,Huppe fasciée,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHuppe%20fasci%C3%A9e.mp3?alt=media&token=7309bd11-631d-4e2f-82fd-2e4e26ac21a1,song,D,,,Milieu agricole,Milieu urbain
Passer montanus,Eurasian Tree Sparrow,Moineau friquet,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMoineau%20friquet.wav?alt=media&token=3f311e03-ac95-491e-b851-ca41770f39f4,song,D,,a verifeir avec celui du moineau domestique,Milieu agricole,Milieu urbain
Melopsittacus undulatus,Budgerigar,Perruche ondulée,,,,,,Milieu agricole,Milieu urbain
Columba livia,Rock Dove,Pigeon biset,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPigeon%20biset.wav?alt=media&token=63367a42-a3be-40e5-9e11-5833d0c7aa24,call,D,,,Milieu agricole,Milieu urbain
Anas crecca,Eurasian Teal,Sarcelle d'hiver,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSarcelle%20d'hiver.wav?alt=media&token=09698219-cce4-4d5c-9ebc-1aa283b46648,call,D,,pas tres fort,Milieu agricole,Milieu urbain
Saxicola rubetra,Whinchat,Tarier des prés,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTarier%20des%20pr%C3%A9s.wav?alt=media&token=e08e225e-2071-40d2-bbeb-758ffd486d5c,song,D,,,Milieu agricole,Milieu urbain
Garrulus glandarius,Eurasian Jay,Geai des chênes,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGeai%20des%20ch%C3%AAnes.mp3?alt=media&token=5ab9fb24-ba74-4f8f-b53b-98e8db4b7242,song,D,,,Milieu forestier,Milieu urbain
Muscicapa striata,Spotted Flycatcher,Gobemouche gris,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGobemouche%20gris.wav?alt=media&token=6aa62fd4-1e75-4bc6-bfec-8ae4e5180eca,call,D,,,Milieu forestier,Milieu urbain
Certhia brachydactyla,Short-toed Treecreeper,Grimpereau des jardins,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrimpereau%20des%20jardins.wav?alt=media&token=a06d2c27-ca87-40f7-95dc-1a2d3063e479,song,D,,,Milieu forestier,Milieu urbain
Lophophanes cristatus,European Crested Tit,Mésange huppée,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20hupp%C3%A9e.wav?alt=media&token=63defbc9-0606-4237-aafd-704de8007349,song,D,,coupé une partie,Milieu forestier,Milieu urbain
Acrocephalus schoenobaenus,Sedge Warbler,Phragmite des joncs,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPhragmite%20des%20joncs.wav?alt=media&token=354fc03e-20f7-4fa5-b7d0-d45ea68edcb1,song,D,,,Milieu forestier,Milieu urbain
Dryocopus martius,Black Woodpecker,Pic noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20noir.mp3?alt=media&token=42cf7c25-a206-4e02-9f19-4b6c1296d8c9,song,D,,,Milieu forestier,Milieu urbain
Rallus aquaticus,Water Rail,Râle d'eau,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FR%C3%A2le%20d'eau.wav?alt=media&token=e8d5bab5-e9f4-4a2b-8b3d-2bb96c8fa351,call,D,,,Milieu forestier,Milieu urbain
Regulus ignicapilla,Common Firecrest,Roitelet à triple bandeau,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRoitelet%20%C3%A0%20triple%20bandeau.mp3?alt=media&token=40e93b3f-2701-441a-a13a-a1ec3ce8bf8a,song,D,,,Milieu forestier,Milieu urbain
Arenaria interpres,Ruddy Turnstone,Tournepierre à collier,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTournepierre%20%C3%A0%20collier.wav?alt=media&token=cd4e4ba3-71f6-473c-acc0-3764510826ae,call,D,,,Milieu forestier,Milieu urbain
Neophron percnopterus,Egyptian Vulture,Vautour percnoptère,,,,,,Milieu forestier,Milieu urbain
Motacilla cinerea,Grey Wagtail,Bergeronnette des ruisseaux,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBergeronnette%20des%20ruisseaux.wav?alt=media&token=efc3f04e-9f91-4782-9bdf-aff6417dd186,song,D,,,Milieu humide,Milieu urbain
Anas platyrhynchos,Mallard,Canard colvert,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCanard%20colvert.wav?alt=media&token=c6dc2515-0e94-4871-895e-4f501cf7d1dc,call,D,,,Milieu humide,Milieu urbain
Ciconia ciconia,White Stork,Cigogne blanche,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCigogne%20blanche.wav?alt=media&token=c7cee5c6-107f-4552-b579-2388ba366bfd,call,D,,,Milieu humide,Milieu urbain
Cygnus olor,Mute Swan,Cygne tuberculé,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCygne%20tubercul%C3%A9.wav?alt=media&token=d4cc50a6-96b3-4208-b850-0003e2afc66f,call,D,,,Milieu humide,Milieu urbain
Alcedo atthis,Common Kingfisher,Martin-pêcheur d'Europe,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMartin-p%C3%AAcheur%20d'Europe.mp3?alt=media&token=1f6daf03-3fff-48e2-8f53-c9f154de28d4,call,D,,,Milieu humide,Milieu urbain
Sterna hirundo,Common Tern,Sterne pierregarin,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSterne%20pierregarin.wav?alt=media&token=d082b3f9-54d6-4785-98b8-f8732ef2b26a,call,D,,,Milieu humide,Milieu urbain
Larus argentatus,European Herring Gull,Goéland argenté,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20argent%C3%A9.wav?alt=media&token=2db2a4f2-5a26-438b-9015-21eeefd08ec7,call,D,,,Milieu littoral,Milieu urbain
Larus cachinnans,Caspian Gull,Goéland pontique,,,,,pas de son,Milieu littoral,Milieu urbain
Alauda arvensis,Eurasian Skylark,Alouette des champs,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20des%20champs.wav?alt=media&token=30891879-1838-46e3-9e92-5fa18a2db1fd,song,D,,,Milieu agricole,
Eremophila alpestris,Horned Lark,Alouette hausse-col,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20hausse-col.wav?alt=media&token=a91f7eea-0aae-47e2-80cc-5c94965e658e,song,D,,,Milieu agricole,
Lullula arborea,Woodlark,Alouette lulu,,,,,a trouver,Milieu agricole,
Emberiza citrinella,Yellowhammer,Bruant jaune,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20jaune.wav?alt=media&token=bd2d2340-0374-4bd0-9f8b-3b4185da01dd,song,D,,,Milieu agricole,
Emberiza hortulana,Ortolan Bunting,Bruant ortolan,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20ortolan.mp3?alt=media&token=8a03c7ce-baf9-4bb4-8c62-e167258ea073,song,C,https://www.youtube.com/watch?v=FW1uguk6fGI,,Milieu agricole,
Emberiza calandra,Corn Bunting,Bruant proyer,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20proyer.wav?alt=media&token=4e1321c4-80ad-4a13-86f2-e4d55943d68f,song,D,,,Milieu agricole,
Coturnix coturnix,Common Quail,Caille des blés,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCaille%20des%20bl%C3%A9s.mp3?alt=media&token=acda89b3-6fac-43dd-99c8-b021f6e2e554,song,D,,,Milieu agricole,
Pyrrhocorax pyrrhocorax,Red-billed Chough,Crave à bec rouge,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCrave%20%C3%A0%20bec%20rouge.mp3?alt=media&token=670bd2e0-f44f-444c-a230-d79a7b500114,call,D,,J4AI PAS PAS GRAVE,Milieu agricole,
Merops apiaster,European Bee-eater,Guêpier d'Europe,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGu%C3%AApier%20d'Europe.mp3?alt=media&token=77f95186-e0d8-497a-a344-9c68c63f171f,song,D,,,Milieu agricole,
Hippolais polyglotta,Melodious Warbler,Hypolaïs polyglotte,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHypola%C3%AFs%20polyglotte.mp3?alt=media&token=91b81468-e892-4db7-921d-3a6723217f16,song,C,https://www.youtube.com/shorts/vhIXrcZgACQ,,Milieu agricole,
Oceanites oceanicus,Wilson's Storm Petrel,Océanite de Wilson,,,,,J'AI PAS PAS GRAVE,Milieu agricole,
Anser albifrons,Greater White-fronted Goose,Oie rieuse,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FOie%20rieuse.wav?alt=media&token=7f782af7-9e9c-46e6-8cd3-d72bca57e273,call,D,,,Milieu agricole,
Alopochen aegyptiaca,Egyptian Goose,Ouette d'Égypte,,,,,regarder si interessant,Milieu agricole,
Panurus biarmicus,Bearded Reedling,Panure à moustaches,,,C,https://www.youtube.com/shorts/G3UtLedBn0Q,,Milieu agricole,
Perdix perdix,Grey Partridge,Perdrix grise,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPerdrix%20grise.mp3?alt=media&token=f6409496-d671-4280-8b90-efdcdf94b888,call,D,,pos fou mais ca va,Milieu agricole,
Pica pica,Eurasian Magpie,Pie bavarde,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPie%20bavarde.mp3?alt=media&token=ebc921e3-a001-4753-9217-a46d4378ed1d,song,D,,,Milieu agricole,
Lanius collurio,Red-backed Shrike,Pie-grièche écorcheur,,song,D,https://www.youtube.com/watch?v=K8o9ty1oxfU,,Milieu agricole,
Anthus cervinus,Red-throated Pipit,Pipit à gorge rousse,,,,,J4AI PAS PAS GRAVE,Milieu agricole,
Anthus campestris,Tawny Pipit,Pipit de Godlewski,,,,,J'AI PAS PAS GRAVE,Milieu agricole,
Sylvia atricapilla,Eurasian Blackcap,Fauvette à tête noire,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20%C3%A0%20t%C3%AAte%20noire.mp3?alt=media&token=adb7a9b4-80df-4ebc-8691-db423e25a456,song,D,,,Milieu forestier,
Curruca subalpina,Moltoni's Warbler,Fauvette de Moltoni,,,,,J4AI PAS PAS GRAVE,Milieu forestier,
Curruca communis,Common Whitethroat,Fauvette grisette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20grisette.mp3?alt=media&token=656710a3-a89b-4000-96c9-5945fccc3622,song,D,,,Milieu forestier,
Dendrocopos major,Great Spotted Woodpecker,Pic épeiche,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20%C3%A9peiche.wav?alt=media&token=b4d16b30-b4db-4756-8a22-02fc4a78281e,call,D,,,Milieu forestier,
Dryobates minor,Lesser Spotted Woodpecker,Pic épeichette,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20%C3%A9peichette.mp3?alt=media&token=f4b52b67-05dd-4edc-b4f7-6c83d317802f,call,C,https://www.youtube.com/watch?v=ELWV9ULo434,,Milieu forestier,
Phylloscopus inornatus,Yellow-browed Warbler,Pouillot à grands sourcils,,,,,J'AI PAS PAS GRAVE,Milieu forestier,
Phylloscopus trochilus,Willow Warbler,Pouillot fitis,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPouillot%20fitis.wav?alt=media&token=a76a33a9-e013-4383-9d28-438983e13d88,song,D,,,Milieu forestier,
Phylloscopus ibericus,Iberian Chiffchaff,Pouillot ibérique,,,D,,j'ai pas pas grave,Milieu forestier,
Motacilla citreola,Citrine Wagtail,Bergeronnette citrine,,,,,pas de son,Milieu humide,
Nycticorax nycticorax,Black-crowned Night Heron,Bihoreau gris,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBihoreau%20gris.wav?alt=media&token=8c57ecf7-533b-48e0-a9e7-db23ef77ade8,Call,D,,,Milieu humide,
Ixobrychus minutus,Little Bittern,Blongios nain,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBlongios%20nain.mp3?alt=media&token=4a946340-07c7-4328-9acc-14d3fb788a3a,call,C,https://youtu.be/d9V505ruoJw,,Milieu humide,
Botaurus stellaris,Eurasian Bittern,Butor étoilé,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FButor%20%C3%A9toil%C3%A9.wav?alt=media&token=34fd6048-6061-4df9-ac98-db71c2e8b69e,call,D,,on peux trouver mieux,Milieu humide,
Cisticola juncidis,Zitting Cisticola,Cisticole des joncs,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCisticole%20des%20joncs.wav?alt=media&token=32b304ee-3aa2-40fa-9b1d-b4a599d592e8,song,D,,,Milieu humide,
Cygnus cygnus,Whooper Swan,Cygne chanteur,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCygne%20chanteur.wav?alt=media&token=07e8d3a6-6420-4e41-b3c5-ff83c375abdd,call,D,,,Milieu humide,
Cygnus atratus,Black Swan,Cygne noir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCygne%20noir.wav?alt=media&token=7d5e5a27-eaf5-4201-b86b-3d600c5f6773,Call,D,,,Milieu humide,
Fulica atra,Eurasian Coot,Foulque macroule,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFoulque%20macroule.wav?alt=media&token=863b7a04-3c03-4230-a988-07e16fca80f5,call,D,,,Milieu humide,
Gallinula chloropus,Common Moorhen,Gallinule poule-d'eau,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGallinule%20poule-d'eau.wav?alt=media&token=1bd8f711-951d-4225-832d-7cd843b76dda,call,D,,son pas ouf,Milieu humide,
Luscinia svecica,Bluethroat,Gorgebleue à miroir,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGorgebleue%20%C3%A0%20miroir%20song.mp3?alt=media&token=5de1bcc1-12bc-4043-b37b-21582530edc2,song,C,,all sound call alarm song,Milieu humide,
Locustella luscinioides,Savi's Warbler,Locustelle luscinioïde,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLocustelle%20luscinio%C3%AFde.wav?alt=media&token=8b1b8c9e-a275-4d53-b151-cfe184dc3a4e,song,D,,,Milieu humide,
Locustella naevia,Common Grasshopper Warbler,Locustelle tachetée,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLocustelle%20tachet%C3%A9e.mp3?alt=media&token=15d62758-395f-4cfc-8247-e398f9e25169,song,D,,,Milieu humide,
Acrocephalus melanopogon,Moustached Warbler,Lusciniole à moustaches,,,,,J4AI PAS PAS GRAVE,Milieu humide,
Zapornia pusilla,Baillon's Crake,Marouette de Baillon,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMarouette%20de%20Baillon.mp3?alt=media&token=af49ed51-8f15-461e-b13d-8de8ee02305f,,C,,,Milieu humide,
Porzana porzana,Spotted Crake,Marouette ponctuée,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMarouette%20ponctu%C3%A9e.wav?alt=media&token=7bfcdc66-43f1-4210-b246-73ac81f587ba,call,D,,,Milieu humide,
Tetrax tetrax,Little Bustard,Outarde canepetière,,,,,j'ai pas pas grave,Milieu humide,
